label,HeightWidthRatio,MajorMinorRatio,BoundingBoxOccupancy,MaxStdXZ,HHmaxRatio,Height (mm),Distance (mm),P40
1,2.5789,2.4958,0.63131,132.2831,1.0266,1888.9666,1082.8269,0.0079753
1,2.9,2.5789,0.52866,133.4583,1.1251,2070.1193,1085.9593,0.017428
1,3.1169,2.9753,0.56104,128.3286,0.98309,1808.8828,1025.4668,0.075424
1,3.1948,3.0485,0.56277,126.6027,1.0266,1888.9666,1022.521,0.07758
1,3.3553,3.1586,0.56285,130.3203,1.0266,1888.9666,1015.8821,0.088467
1,3.3421,3.0562,0.56232,127.1876,0.99732,1835.0649,1029.5435,0.073699
1,3.175,3.1018,0.53878,132.1253,1.0125,1863.021,1026.1987,0.080654
1,3.15,3.1067,0.55174,132.6336,0.98702,1816.1136,1019.9964,0.083611
1,3.4744,3.1619,0.54778,140.8315,1.1251,2070.1193,1021.4239,0.093618
1,3.3875,3.1974,0.53695,137.3826,1.1251,2070.1193,1034.6672,0.08178
1,3.359,3.122,0.56542,136.4337,1.0131,1864.0748,1028.7456,0.080225
1,3.1852,3.087,0.55077,126.9228,0.97334,1790.9547,1036.9637,0.069592
1,3.131,3.0738,0.52924,128.5279,1.007,1852.9249,1039.972,0.069022
1,3.0353,2.9728,0.53703,128.8477,0.99665,1833.8379,1039.8474,0.06742
1,3.2209,2.942,0.51087,135.0019,1.1251,2070.1193,1040.017,0.067543
1,3.0581,3.0299,0.55558,138.1078,1.0312,1897.4633,1020.788,0.083479
1,2.9773,2.8424,0.54437,133.7846,1.0105,1859.322,1022.762,0.079038
1,2.8681,2.7312,0.54566,146.3357,0.99598,1832.604,1019.4279,0.080633
1,2.7097,2.6167,0.54113,139.7707,0.9689,1782.7835,1027.8344,0.064659
1,2.6804,2.5878,0.536,147.4926,0.99953,1839.1439,1013.3577,0.082335
1,2.63,2.5856,0.51608,148.939,1.0291,1893.6336,1039.772,0.065792
1,2.5098,2.5867,0.53271,154.9745,0.98201,1806.8943,1014.9898,0.082099
1,2.4808,2.5632,0.52091,157.7819,0.98717,1816.3926,1013.7225,0.083494
1,2.4766,2.599,0.50019,159.9754,1.0245,1885.0569,1016.5879,0.086865
1,2.3909,2.5713,0.49858,162.1917,1.011,1860.2652,1017.1653,0.086522
1,2.4182,2.5972,0.49265,161.9037,1.0184,1873.7938,1016.6211,0.091918
1,2.2743,2.5352,0.48545,162.862,0.97758,1798.7437,1019.377,0.085899
1,2.2895,2.5723,0.4841,162.5078,0.98037,1803.8835,1020.3626,0.091641
1,2.3043,2.5813,0.46582,160.6711,0.99795,1836.2369,1036.5758,0.080586
1,2.3739,2.543,0.44574,160.7107,1.0103,1858.9534,1051.9056,0.068744
1,2.3421,2.4692,0.45916,160.5995,0.97764,1798.8547,1057.4218,0.061749
1,2.3684,2.4948,0.4564,160.3082,0.97573,1795.3516,1055.9802,0.064208
1,2.4375,2.4994,0.46383,158.5758,0.97453,1793.1295,1057.7687,0.064166
1,2.4636,2.5028,0.47937,156.9731,0.97665,1797.0357,1058.9843,0.062561
1,2.5741,2.508,0.47692,154.8235,0.98089,1804.8434,1064.6633,0.059362
1,2.5981,2.4584,0.49059,155.427,0.97238,1789.1853,1061.69,0.056602
1,2.6667,2.5075,0.5034,152.0647,0.99258,1826.3383,1063.5126,0.054865
1,2.6226,2.5038,0.51486,151.4829,0.9921,1825.4655,1059.1933,0.055497
1,2.6857,2.5194,0.51645,149.4139,1.0139,1865.5889,1059.6379,0.053623
1,2.6729,2.5571,0.51029,147.5641,1.0083,1855.1984,1055.5709,0.055584
1,2.6574,2.5532,0.51668,147.5595,1.0104,1859.1069,1054.5434,0.0537
1,2.6364,2.5789,0.51972,147.7467,1.0123,1862.5991,1055.5584,0.054708
1,2.6126,2.5639,0.5229,146.9117,1.0028,1845.138,1048.7918,0.056856
1,2.6126,2.5797,0.5347,146.3396,0.99813,1836.5561,1041.5148,0.061294
1,2.5752,2.6465,0.53599,145.3479,0.99804,1836.4001,1025.8161,0.076539
1,2.6455,2.6758,0.56117,144.0901,1.0021,1843.8279,1024.3232,0.078049
1,2.6126,2.7179,0.56241,147.9704,0.99983,1839.6941,1008.7679,0.090974
1,2.5614,2.7308,0.55095,152.8911,1.0257,1887.2992,1007.6313,0.094166
1,2.5965,2.7444,0.5489,156.6057,1.0169,1871.0548,1009.0747,0.093726
1,2.5517,2.6848,0.54357,157.5376,1.0091,1856.7761,1007.7137,0.092745
1,2.5424,2.7168,0.5341,158.5607,1.0093,1857.1209,1006.6797,0.094674
1,2.4672,2.6972,0.51187,161.0758,0.99742,1835.2585,996.7914,0.10002
1,2.384,2.6599,0.50081,160.4819,0.97711,1797.8858,999.2472,0.093862
1,2.4597,2.7228,0.50346,159.5247,0.99207,1825.4027,996.6928,0.10136
1,2.4444,2.6904,0.49977,165.3276,0.98994,1821.4924,993.26,0.098788
1,2.3511,2.7199,0.48411,161.4989,0.98803,1817.982,989.8373,0.099473
1,2.2857,2.7374,0.48835,161.8063,0.9889,1819.5844,976.7227,0.1059
1,2.219,2.62,0.47299,164.4164,0.96636,1778.1078,968.8754,0.10503
1,2.0552,2.5786,0.46024,165.8182,0.95359,1754.6112,959.4352,0.11233
1,1.9797,2.5378,0.44613,161.9947,0.92634,1704.4593,946.6649,0.11899
1,1.9103,2.5184,0.4169,162.0754,0.94378,1736.5641,949.0449,0.11893
1,1.9,2.3415,0.37961,162.4843,0.92004,1692.8652,950.4477,0.098137
1,1.8765,2.279,0.3725,164.962,0.89975,1655.5368,950.2133,0.08858
1,1.8931,2.226,0.38089,164.4231,0.88156,1622.0734,927.22,0.093148
1,1.8987,2.2327,0.38835,162.8387,0.85919,1580.9107,895.2547,0.10115
1,1.8553,2.2041,0.40058,161.8534,0.84121,1547.8298,858.2606,0.1148
1,1.7688,2.1562,0.41111,159.1568,0.80178,1475.2835,834.1041,0.10604
1,1.7152,2.0001,0.4252,161.4004,0.76595,1409.3513,798.4693,0.10134
1,1.538,1.7621,0.46283,165.3706,0.7363,1354.7849,790.6355,0.07749
1,1.5625,1.8346,0.476,166.9482,0.70071,1289.3121,723.2614,0.13866
1,1.5528,1.6779,0.47277,169.9053,0.6658,1225.0768,681.0693,0.15629
1,1.625,1.7874,0.4249,175.9782,0.63711,1172.2807,673.804,0.16565
1,1.6159,1.6586,0.38803,179.6078,0.60415,1111.6447,662.9196,0.15495
1,1.4915,1.4087,0.4477,183.4513,0.57369,1055.5861,583.5224,0.25674
1,1.4674,1.4207,0.46085,205.1592,0.54327,999.6164,526.3838,0.3444
1,1.2906,1.3471,0.44446,203.6196,0.51847,953.9799,502.7135,0.37129
1,1.23,1.2543,0.46081,185.8796,0.48586,893.9889,482.7434,0.37831
1,1.1095,1.1765,0.48704,185.7735,0.46579,857.058,454.6894,0.40758
1,1.0092,1.3143,0.48142,195.7155,0.43504,800.4658,446.8026,0.3979
1,0.88341,1.4317,0.50272,195.7646,0.39848,733.208,418.6946,0.42422
1,0.75519,1.7262,0.52262,206.5016,0.37676,693.2466,403.8943,0.43101
1,0.67339,1.8217,0.57007,201.2996,0.34653,637.6133,379.5782,0.48094
1,0.6378,2.1133,0.56248,207.2454,0.30934,569.1901,379.9047,0.49661
1,0.58271,1.9769,0.61426,201.473,0.29417,541.2726,349.681,0.60614
1,0.54753,1.9137,0.69621,197.4512,0.28533,525.0124,333.5109,0.69674
1,0.51685,1.9889,0.72369,194.908,0.27708,509.8194,319.7429,0.78837
1,0.48352,2.1084,0.71448,192.485,0.27226,500.9609,308.3393,0.85225
1,0.43173,2.2203,0.70991,185.785,0.25556,470.2215,299.5163,0.87916
1,0.41923,2.1059,0.69086,169.993,0.24651,453.5734,296.4446,0.89325
1,0.4321,1.9238,0.69257,155.0538,0.24367,448.3444,300.8359,0.88512
1,0.5023,1.8298,0.72359,148.2821,0.26719,491.6336,311.62,0.84803
1,0.58854,1.8089,0.79632,148.2117,0.25777,474.2997,322.2134,0.81056
1,0.51584,2.0589,0.73275,171.0459,0.2613,480.7862,318.2792,0.80277
1,0.49569,2.1458,0.70382,176.9109,0.26885,494.6818,324.2938,0.79636
1,0.47541,2.2359,0.67224,181.3026,0.27364,503.5035,330.1857,0.80848
1,0.43825,2.3865,0.65375,182.3976,0.26978,496.3959,334.7192,0.80892
1,0.57422,1.7141,0.59736,238.573,0.24227,445.7737,340.8502,0.82438
1,0.53725,1.7677,0.61861,235.4205,0.2623,482.6295,338.5891,0.85549
1,0.50593,1.8158,0.64486,230.0149,0.25687,472.6424,333.3734,0.8833
1,0.4877,1.845,0.66717,222.2935,0.25215,463.9606,329.6244,0.89531
1,0.48498,1.7885,0.66979,218.5665,0.24921,458.5385,324.5365,0.90723
1,0.49772,1.6793,0.6926,222.0853,0.23813,438.1636,319.4479,0.91889
1,0.56345,1.6028,0.77112,261.3218,0.23898,439.7315,307.9055,0.94265
1,0.62431,1.5481,0.80047,273.9159,0.22858,420.5796,304.2493,0.95132
1,0.68235,1.3793,0.73484,255.031,0.23137,425.7181,316.199,0.95853
1,0.70988,1.392,0.75507,259.7701,0.22754,418.6783,315.1811,0.96837
1,0.7205,1.4001,0.76044,264.3662,0.22859,420.603,311.4386,0.97888
1,0.62366,1.585,0.72947,291.4776,0.226,415.8397,291.2288,0.98539
1,0.61828,1.6034,0.74324,290.3141,0.22626,416.31,290.3954,0.98434
1,0.60753,1.5934,0.76377,286.407,0.22919,421.7107,291.5147,0.98256
1,0.59783,1.5914,0.77614,279.1653,0.22919,421.7096,294.0505,0.98536
1,0.59677,1.5868,0.77332,277.5009,0.22927,421.8488,295.1412,0.98666
1,0.65476,1.4488,0.79134,250.7001,0.21054,387.4018,310.7524,0.98851
1,0.66265,1.4284,0.81336,250.3551,0.22666,417.0523,310.7245,0.98977
1,0.64497,1.4422,0.82178,246.7936,0.22329,410.8609,310.5679,0.99022
1,0.64118,1.4633,0.817,244.5061,0.22502,414.0373,309.9018,0.99069
1,0.63743,1.4902,0.81887,248.2809,0.20709,381.0369,308.6363,0.99253
1,0.62712,1.5522,0.80903,252.5615,0.2244,412.8979,305.0205,0.99534
1,0.59341,1.5325,0.77956,239.996,0.20024,368.4498,308.0451,0.99843
1,0.60112,1.5437,0.83073,241.5145,0.20716,381.1826,308.1954,1
1,0.59777,1.5661,0.81502,239.0027,0.20182,371.3514,308.4604,0.99994
1,0.5847,1.6293,0.80164,235.2756,0.21133,388.8524,307.5478,1
1,0.58564,1.6351,0.81992,235.1329,0.20365,374.7097,307.5202,0.99994
1,0.56684,1.6376,0.79846,234.0345,0.20562,378.3336,307.5381,1
1,0.60753,1.6189,0.75611,237.3734,0.20365,374.7097,307.3137,1
1,0.56684,1.6363,0.78085,236.0436,0.20017,368.3058,306.6059,0.99987
1,0.57609,1.6345,0.78953,233.935,0.20527,377.6959,306.4929,0.99968
1,0.56383,1.6682,0.77308,231.1202,0.20387,375.1124,306.1225,1
1,0.58791,1.6488,0.78767,232.6618,0.20382,375.0197,306.3629,0.99987
1,0.59669,1.6184,0.7964,234.4827,0.20423,375.7806,306.6996,1
1,0.59669,1.6231,0.79727,236.3373,0.21112,388.4564,305.6766,0.99891
1,0.59341,1.6349,0.78566,235.1752,0.21294,391.8097,304.6525,1
1,2.1386,2.3965,0.47086,122.5105,0.78336,1441.3823,774.3894,0.1336
1,2.119,2.392,0.46552,121.8952,0.78491,1444.2419,774.0141,0.13067
1,2.1515,2.3763,0.4722,121.2717,0.78321,1441.102,772.0973,0.13092
1,2.1257,2.3801,0.47479,121.2552,0.78138,1437.7392,771.314,0.135
1,2.1317,2.4004,0.47194,121.0353,0.78516,1444.6876,777.5372,0.13201
1,2.1317,2.387,0.47061,120.9297,0.78335,1441.3561,778.0072,0.12949
1,2.0783,2.2939,0.46766,120.4532,0.75929,1397.0931,761.1899,0.12564
1,2.1515,2.3614,0.47232,120.1116,0.77614,1428.1062,773.3233,0.12788
1,2.1914,2.3269,0.47573,120.5088,0.77733,1430.2837,766.3306,0.12877
1,2.1386,2.3651,0.47572,120.6434,0.77794,1431.4063,774.61,0.13077
1,2.1914,2.3571,0.48268,120.1125,0.77806,1431.6249,771.6204,0.13048
1,2.1779,2.3821,0.48682,119.6749,0.77971,1434.6734,776.8485,0.1295
1,2.1779,2.3793,0.48781,119.3475,0.77484,1425.6994,776.3099,0.1298
1,2.1455,2.377,0.48398,119.2208,0.77829,1432.048,777.1435,0.12965
1,2.1718,2.3683,0.49038,119.2223,0.77507,1426.1341,775.891,0.13041
1,2.1718,2.3527,0.48525,118.862,0.77386,1423.9111,775.3319,0.12896
1,2.179,2.3624,0.49288,118.6266,0.77174,1420.0082,776.7202,0.12882
1,2.1925,2.3686,0.49422,118.5402,0.76896,1414.8875,777.8956,0.12867
1,2.1463,2.3579,0.48368,118.2671,0.77281,1421.9643,771.2917,0.13294
1,2.1925,2.3707,0.49299,118.2772,0.77317,1422.6365,773.6253,0.13327
1,2.2188,2.3825,0.49484,118.5159,0.77376,1423.7232,775.6047,0.13385
1,2.2062,2.3817,0.49963,118.6032,0.77222,1420.8876,773.4958,0.13629
1,2.1925,2.3927,0.49624,117.8256,0.77186,1420.2256,774.9781,0.13452
1,2.2062,2.375,0.49625,118.2752,0.77364,1423.5058,772.5282,0.13526
1,2.1875,2.356,0.49741,118.205,0.76735,1411.9263,768.9923,0.13707
1,2.2278,2.3775,0.49815,118.5565,0.76972,1416.2933,774.5406,0.13369
1,2.1688,2.3441,0.49501,118.4762,0.7649,1407.4105,765.9954,0.13801
1,2.2089,2.3501,0.49574,118.2409,0.76673,1410.778,765.3844,0.13824
1,2.195,2.3663,0.49783,119.468,0.76724,1411.7264,772.5512,0.13622
1,2.2089,2.3586,0.49363,119.4875,0.76432,1406.3561,769.5348,0.13711
1,2.2102,2.3669,0.50001,119.7055,0.76919,1415.3137,770.6453,0.1366
1,2.2244,2.319,0.49243,118.7502,0.76808,1413.2761,760.6033,0.13776
1,2.1563,2.3249,0.48772,120.9778,0.76562,1408.7403,763.9903,0.1407
1,2.1447,2.2919,0.48573,120.5406,0.7559,1390.8488,755.7599,0.14114
1,2.1104,2.3222,0.48293,123.5869,0.7663,1409.9989,768.3297,0.14044
1,2.0424,2.2755,0.47688,123.3491,0.74909,1378.3229,755.6925,0.14594
1,2.0298,2.2929,0.46828,125.1319,0.75731,1393.4492,762.8543,0.14251
1,1.9709,2.2997,0.46328,127.1262,0.75542,1389.971,763.4801,0.14319
1,1.8883,2.2883,0.44437,127.9301,0.75168,1383.0849,761.01,0.1425
1,1.8667,2.2826,0.44547,130.0189,0.75725,1393.3438,756.6015,0.14824
1,1.8261,2.2334,0.42857,130.503,0.74445,1369.7971,751.64,0.14734
1,1.8,2.2038,0.42923,133.2266,0.74705,1374.5731,744.8075,0.15214
1,1.754,2.2094,0.42949,136.7472,0.74039,1362.3146,744.864,0.15283
1,1.7135,2.214,0.42167,140.6585,0.74238,1365.9702,741.7466,0.15956
1,1.6927,2.1973,0.42154,142.377,0.72486,1333.7361,738.2773,0.15967
1,1.6495,2.1847,0.42017,144.7725,0.71611,1317.6495,733.9419,0.16148
1,1.5512,2.1606,0.40212,149.206,0.72187,1328.2332,728.7299,0.16545
1,1.5024,2.1571,0.39917,154.4021,0.72014,1325.0564,722.93,0.16968
1,1.4764,2.1543,0.39529,158.0492,0.72236,1329.1506,720.7371,0.17221
1,1.4623,2.1785,0.39627,162.1382,0.7111,1308.4272,717.237,0.17659
1,1.4101,2.169,0.39723,166.7028,0.702,1291.6783,706.1615,0.18778
1,1.3991,2.1769,0.39671,171.7305,0.69871,1285.6322,698.6837,0.19574
1,1.3468,2.167,0.40253,175.4983,0.68727,1264.5743,689.587,0.20521
1,1.2763,2.0986,0.41909,180.5636,0.67198,1236.4395,671.9052,0.21877
1,1.25,1.9634,0.45171,184.2794,0.6573,1209.4316,648.916,0.23586
1,1.2105,1.8038,0.48832,190.4548,0.63856,1174.9444,626.5068,0.25015
1,1.1595,2.0986,0.45746,201.9136,0.62518,1150.3401,635.3884,0.2294
1,1.1336,1.5854,0.52603,214.3597,0.61329,1128.4508,593.1945,0.26374
1,1.063,1.7664,0.51755,221.7298,0.59481,1094.453,583.9218,0.24747
1,0.95865,1.3597,0.47535,245.6066,0.57295,1054.2261,543.0672,0.29529
1,0.8917,1.411,0.45667,257.9153,0.54029,994.136,518.4842,0.2996
1,0.86617,1.556,0.48898,268.9581,0.50592,930.8897,487.3798,0.31695
1,0.80216,1.735,0.47534,274.2949,0.47436,872.815,458.2353,0.35618
1,0.6587,1.8617,0.50938,273.1246,0.41533,764.2076,405.2533,0.45992
1,0.6,2.1311,0.49613,283.6325,0.39316,723.4084,373.9084,0.52889
1,0.64453,1.8786,0.59908,240.5423,0.34739,639.1911,372.4463,0.55123
1,0.64898,1.8165,0.62716,224.8811,0.32155,591.6548,348.9414,0.62965
1,0.66383,1.7197,0.65286,209.3492,0.31411,577.9552,327.0543,0.6952
1,0.47576,2.1811,0.52876,271.3088,0.30889,568.3501,300.1299,0.76014
1,0.46847,2.3117,0.53658,282.0902,0.30396,559.2789,290.722,0.79956
1,0.46429,2.4111,0.57139,295.5,0.30042,552.7723,274.2578,0.83549
1,0.4386,2.555,0.60474,307.8975,0.29365,540.3115,267.3765,0.86213
1,0.4169,2.6796,0.60729,317.9663,0.28609,526.4141,263.3377,0.88968
1,0.3966,2.7349,0.66038,321.6127,0.27572,507.319,261.802,0.91402
1,0.39889,2.7786,0.63691,325.5536,0.26638,490.1469,257.7286,0.936
1,0.42466,2.8353,0.59146,326.757,0.25049,460.901,255.147,0.94358
1,0.44262,2.8395,0.5735,328.7578,0.26174,481.5991,258.5097,0.92974
1,0.44086,2.7921,0.56434,325.9562,0.27188,500.2666,263.3651,0.9115
1,0.44562,2.722,0.55008,323.0241,0.28879,531.3742,268.9149,0.89449
1,0.46961,2.473,0.51053,282.5928,0.29412,541.1839,288.06,0.87412
1,0.475,2.4776,0.49815,276.4562,0.29884,549.8725,288.7711,0.87641
1,0.48442,2.4979,0.50663,273.3131,0.29921,550.5498,286.7921,0.8796
1,0.48295,2.5393,0.49826,268.7719,0.29861,549.447,282.257,0.89392
1,0.48,2.6573,0.49548,276.697,0.29648,545.5153,274.0946,0.90492
1,0.47278,2.7015,0.47056,272.0298,0.28869,531.1807,270.8293,0.91423
1,0.46957,2.7486,0.45525,267.2795,0.27742,510.4479,266.7958,0.92415
1,0.43526,2.8901,0.43223,272.3044,0.27293,502.1936,262.5684,0.93614
1,0.42382,2.9973,0.43157,273.8253,0.2565,471.9661,258.8928,0.94932
1,0.40688,3.0236,0.44253,260.5008,0.25145,462.6771,255.6175,0.95805
1,0.4116,3.0782,0.40326,267.7824,0.25004,460.0804,251.2561,0.95973
1,0.41989,3.055,0.39252,270.2344,0.25261,464.8095,248.8983,0.9549
1,0.41304,3.0897,0.39368,274.1971,0.25236,464.3461,245.7023,0.95695
1,0.42162,3.1292,0.37999,278.1144,0.25345,466.3526,242.9817,0.95819
1,0.41129,3.1813,0.38706,280.6345,0.25916,476.851,241.5841,0.96214
1,0.41223,3.2043,0.37437,281.5147,0.26028,478.9147,240.2594,0.96109
1,0.42021,3.1347,0.36674,276.1514,0.26132,480.8263,241.1923,0.95878
1,0.43454,3.0653,0.38015,268.3318,0.26059,479.4935,240.9772,0.95932
1,0.41711,3.0893,0.36929,273.3413,0.26047,479.2618,240.7354,0.956
1,0.37731,3.326,0.39993,282.7094,0.24645,453.4661,236.9676,0.96854
1,0.42162,3.0537,0.37188,271.2791,0.26072,479.7252,241.0109,0.95299
1,0.39467,3.2371,0.38431,277.9152,0.25531,469.7794,238.437,0.9654
1,0.42975,3.0469,0.37077,267.9457,0.26047,479.2618,242.1132,0.95752
1,0.41711,3.0558,0.3664,274.099,0.25971,477.8715,242.8037,0.94892
1,0.4127,3.0638,0.36413,276.8566,0.26142,481.0078,243.8109,0.94691
1,0.42432,3.0115,0.36776,275.162,0.26562,488.7388,245.1291,0.94153
1,0.41732,3.0322,0.36024,281.7267,0.26821,493.5024,246.1299,0.93534
1,0.41732,3.0929,0.3573,283.3862,0.26667,490.6803,244.3829,0.94207
1,0.41299,3.0515,0.35305,279.9491,0.26962,496.0988,244.887,0.93994
1,0.42105,3.0231,0.35418,276.2613,0.26832,493.7141,244.8958,0.9394
1,0.41667,3.1238,0.35311,283.081,0.26782,492.7872,243.0886,0.94307
1,2.55,2.9894,0.50988,136.2786,0.96247,1770.946,1006.3133,0.094678
1,2.6907,2.9865,0.51704,135.8144,0.96884,1782.6583,1010.272,0.091749
1,2.7292,2.9428,0.52222,135.2552,0.96255,1771.0925,1015.1709,0.084507
1,2.4796,2.778,0.53796,135.4524,0.9835,1809.6374,1043.2013,0.059558
1,2.7423,2.959,0.50562,133.3804,0.96706,1779.3884,1022.7923,0.081404
1,2.8021,2.9412,0.50318,133.1235,0.96706,1779.3884,1027.6656,0.077651
1,2.8421,2.9216,0.50741,132.4631,0.97377,1791.742,1029.9427,0.073454
1,2.6875,2.8345,0.52318,132.3841,0.96887,1782.7141,1037.5126,0.064439
1,2.8105,2.8771,0.52005,130.7361,0.96533,1776.2106,1028.4983,0.070124
1,2.8125,2.832,0.53059,132.6004,0.96317,1772.2369,1029.1057,0.067403
1,2.9474,2.8144,0.53421,133.9818,0.99032,1822.1818,1034.2918,0.065095
1,2.9579,2.7693,0.54737,134.7189,0.99996,1839.9322,1033.754,0.06481
1,2.9375,2.7378,0.56442,135.9091,0.9934,1827.8559,1029.3297,0.066296
1,2.75,2.6859,0.57269,136.311,0.97694,1797.574,1015.1487,0.070735
1,2.8137,2.668,0.55148,138.1091,1.0134,1864.6751,1020.9519,0.073526
1,2.6981,2.6183,0.5415,139.2023,1.0005,1841.0035,1011.9347,0.078277
1,2.5091,2.5881,0.54865,140.2341,0.9726,1789.5877,1002.8614,0.082188
1,2.5946,2.6372,0.53732,140.6047,1.0033,1846.1384,1003.7442,0.088782
1,2.5179,2.6694,0.54689,139.9172,0.98104,1805.1186,995.2136,0.095583
1,2.4825,2.6902,0.53757,139.3294,0.97697,1797.6199,997.1239,0.095946
1,2.5217,2.7352,0.52825,138.1711,1.0015,1842.8404,1001.4335,0.095362
1,2.5856,2.8112,0.55156,136.2975,0.97931,1801.9214,997.8144,0.09897
1,2.5776,2.8002,0.51744,138.2143,1.0114,1860.9444,1004.5869,0.09946
1,2.6814,2.8389,0.52721,137.9099,1.0082,1855.0628,1005.3978,0.098997
1,2.6814,2.8329,0.53065,138.2439,1.0058,1850.6168,997.3509,0.10105
1,2.7788,2.8503,0.51694,138.716,1.0016,1842.9466,991.6619,0.10522
1,2.693,2.8289,0.53129,139.9937,0.97169,1787.9137,982.235,0.10891
1,2.5966,2.8073,0.51394,140.9608,0.97878,1800.9503,978.1932,0.10948
1,2.6694,2.8503,0.49684,141.4386,1.0026,1844.6926,986.039,0.10866
1,2.7,2.8217,0.50036,141.515,1.0002,1840.4144,987.1908,0.10419
1,2.7542,2.8194,0.50918,141.3643,1.0008,1841.4827,994.8105,0.098274
1,2.6923,2.722,0.53401,143.5066,0.98064,1804.3733,983.9872,0.097505
1,2.6364,2.674,0.52089,146.286,0.99268,1826.5257,992.9059,0.091316
1,2.6529,2.687,0.5212,146.3776,1.0093,1857.0588,1007.1935,0.083729
1,2.6393,2.6435,0.52136,147.6178,1.0022,1844.0377,1017.5067,0.074801
1,2.626,2.6118,0.52843,149.2046,1.0177,1872.5055,1019.9402,0.073116
1,2.376,2.4296,0.56848,153.4681,0.98165,1806.2358,1024.4837,0.058185
1,2.5703,2.5498,0.52125,154.538,1.0077,1854.0808,1022.6507,0.070065
1,2.4167,2.44,0.52178,156.7253,0.97115,1786.9182,1016.918,0.067225
1,2.4328,2.5044,0.52033,158.9968,1.0014,1842.6503,1013.8703,0.075363
1,2.3381,2.5053,0.50619,160.7754,0.99392,1828.8126,1004.8139,0.084095
1,2.3028,2.5377,0.50575,161.2718,1.0013,1842.3329,1010.6921,0.08691
1,2.3056,2.5904,0.49739,159.5637,1.0008,1841.5169,1009.5609,0.091173
1,2.3197,2.6475,0.48004,158.2642,1.0031,1845.7554,1003.7596,0.099032
1,2.3469,2.6621,0.47601,156.576,0.99317,1827.4378,1006.6272,0.096268
1,2.3514,2.6631,0.47323,155.9601,0.97464,1793.3295,999.7711,0.10011
1,2.4189,2.687,0.46171,154.681,1.0098,1858.0914,1015.0927,0.091117
1,2.4295,2.6451,0.44644,154.4765,0.99913,1838.4019,1027.3867,0.076952
1,2.3691,2.5683,0.4506,153.4375,0.96351,1772.8616,1025.8107,0.068439
1,2.4966,2.6205,0.45085,151.9304,0.99306,1827.2239,1031.2555,0.068084
1,2.4054,2.5623,0.45612,150.5773,0.96106,1768.349,1028.9786,0.062542
1,2.4768,2.602,0.44288,150.8119,1.0015,1842.6913,1036.7423,0.064372
1,2.5338,2.6329,0.45674,148.8172,0.99434,1829.5766,1032.4602,0.064421
1,2.4863,2.5265,0.48577,149.6931,0.98107,1805.1756,1030.85,0.05737
1,2.5793,2.597,0.48936,147.0963,0.98198,1806.8418,1026.3252,0.062363
1,2.6713,2.5974,0.49577,145.885,0.99339,1827.8453,1023.2011,0.062108
